compound_id,target_id,target_name,assay_id,standard_type,standard_value,standard_units,pchembl_value,activity_type,source,MW,LogP,HBA,HBD
CHEMBL1000000,CHEMBL231,Histamine H1 receptor,CHEMBL1900000,IC50,801.57,nM,6.1,BINDING,ChEMBL,331.3,2.22,2,1
CHEMBL1000001,CHEMBL218,Dopamine D2 receptor,CHEMBL1900000,Ki,15741.78,nM,4.8,BINDING,ChEMBL,141.0,3.64,2,1
CHEMBL1000002,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900000,IC50,55.11,nM,7.26,BINDING,ChEMBL,306.4,2.63,2,4
CHEMBL1000003,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900000,IC50,16674.31,nM,4.78,BINDING,ChEMBL,415.8,1.03,3,6
CHEMBL1000004,CHEMBL219,D1 dopamine receptor,CHEMBL1900000,EC50,51392.82,nM,4.29,BINDING,ChEMBL,242.3,1.44,3,3
CHEMBL1000005,CHEMBL205,Histamine H2 receptor,CHEMBL1900000,IC50,633.07,nM,6.2,BINDING,ChEMBL,333.4,1.75,3,0
CHEMBL1000006,CHEMBL302,Cyclooxygenase-1,CHEMBL1900000,IC50,67236.02,nM,4.17,BINDING,ChEMBL,344.2,3.7,3,3
CHEMBL1000007,CHEMBL388,Tumor necrosis factor,CHEMBL1900000,IC50,2486.24,nM,5.6,BINDING,ChEMBL,332.4,2.93,3,1
CHEMBL1000008,CHEMBL231,Histamine H1 receptor,CHEMBL1900000,Ki,1.73,nM,8.76,BINDING,ChEMBL,357.8,3.66,3,1
CHEMBL1000009,CHEMBL218,Dopamine D2 receptor,CHEMBL1900000,IC50,1395.26,nM,5.86,BINDING,ChEMBL,236.8,2.0,1,3
CHEMBL1000010,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900001,Ki,3.63,nM,8.44,BINDING,ChEMBL,196.5,2.47,1,2
CHEMBL1000011,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900001,Ki,844.69,nM,6.07,BINDING,ChEMBL,377.2,2.49,3,3
CHEMBL1000012,CHEMBL219,D1 dopamine receptor,CHEMBL1900001,Ki,2.74,nM,8.56,BINDING,ChEMBL,486.5,3.55,0,1
CHEMBL1000013,CHEMBL205,Histamine H2 receptor,CHEMBL1900001,Ki,59533.92,nM,4.23,BINDING,ChEMBL,287.3,2.11,6,1
CHEMBL1000014,CHEMBL302,Cyclooxygenase-1,CHEMBL1900001,IC50,169063.45,nM,3.77,BINDING,ChEMBL,399.4,3.96,1,2
CHEMBL1000015,CHEMBL388,Tumor necrosis factor,CHEMBL1900001,Ki,1407.06,nM,5.85,BINDING,ChEMBL,499.3,3.07,3,3
CHEMBL1000016,CHEMBL231,Histamine H1 receptor,CHEMBL1900001,Ki,326.23,nM,6.49,BINDING,ChEMBL,278.8,1.52,6,1
CHEMBL1000017,CHEMBL218,Dopamine D2 receptor,CHEMBL1900001,IC50,45250.02,nM,4.34,BINDING,ChEMBL,340.1,3.39,6,1
CHEMBL1000018,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900001,Ki,1959.67,nM,5.71,BINDING,ChEMBL,354.7,1.13,5,5
CHEMBL1000019,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900001,IC50,653.03,nM,6.19,BINDING,ChEMBL,324.8,3.41,1,1
CHEMBL1000020,CHEMBL219,D1 dopamine receptor,CHEMBL1900002,IC50,5.28,nM,8.28,BINDING,ChEMBL,312.2,3.81,3,1
CHEMBL1000021,CHEMBL205,Histamine H2 receptor,CHEMBL1900002,IC50,2788.13,nM,5.55,BINDING,ChEMBL,188.0,2.72,3,0
CHEMBL1000022,CHEMBL302,Cyclooxygenase-1,CHEMBL1900002,Ki,26679.82,nM,4.57,BINDING,ChEMBL,375.4,0.57,6,1
CHEMBL1000023,CHEMBL388,Tumor necrosis factor,CHEMBL1900002,Ki,95.43,nM,7.02,BINDING,ChEMBL,385.5,3.43,1,2
CHEMBL1000024,CHEMBL231,Histamine H1 receptor,CHEMBL1900002,IC50,783346.46,nM,3.11,BINDING,ChEMBL,339.7,1.94,4,0
CHEMBL1000025,CHEMBL218,Dopamine D2 receptor,CHEMBL1900002,EC50,5532.85,nM,5.26,BINDING,ChEMBL,198.2,4.04,7,0
CHEMBL1000026,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900002,Ki,1454.82,nM,5.84,BINDING,ChEMBL,302.9,3.52,3,3
CHEMBL1000027,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900002,IC50,1.03,nM,8.99,BINDING,ChEMBL,452.2,1.79,6,3
CHEMBL1000028,CHEMBL219,D1 dopamine receptor,CHEMBL1900002,EC50,6124.49,nM,5.21,BINDING,ChEMBL,328.3,1.76,5,3
CHEMBL1000029,CHEMBL205,Histamine H2 receptor,CHEMBL1900002,IC50,21826.09,nM,4.66,BINDING,ChEMBL,325.3,3.46,1,2
CHEMBL1000030,CHEMBL302,Cyclooxygenase-1,CHEMBL1900003,EC50,1607.09,nM,5.79,BINDING,ChEMBL,312.3,2.78,2,5
CHEMBL1000031,CHEMBL388,Tumor necrosis factor,CHEMBL1900003,Ki,0.18,nM,9.76,BINDING,ChEMBL,325.8,2.49,1,0
CHEMBL1000032,CHEMBL231,Histamine H1 receptor,CHEMBL1900003,IC50,1296.4,nM,5.89,BINDING,ChEMBL,341.3,2.98,4,1
CHEMBL1000033,CHEMBL218,Dopamine D2 receptor,CHEMBL1900003,Ki,0.52,nM,9.29,BINDING,ChEMBL,387.9,2.57,5,1
CHEMBL1000034,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900003,Ki,4296.53,nM,5.37,BINDING,ChEMBL,337.4,0.87,2,4
CHEMBL1000035,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900003,EC50,652.2,nM,6.19,BINDING,ChEMBL,409.4,4.27,3,0
CHEMBL1000036,CHEMBL219,D1 dopamine receptor,CHEMBL1900003,Ki,7.5,nM,8.12,BINDING,ChEMBL,212.9,4.12,5,0
CHEMBL1000037,CHEMBL205,Histamine H2 receptor,CHEMBL1900003,EC50,1.81,nM,8.74,BINDING,ChEMBL,471.3,2.87,4,2
