smiles,pchembl_value,chembl_id,target_chembl_id,target_name,MW,LogP
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,7.33,CHEMBL90476,CHEMBL217,Dopamine D2 receptor,370.294,4.253
Brc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1,5.75,CHEMBL204054,CHEMBL301,CDK2,380.249,4.166
Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1,4.58,CHEMBL203006,CHEMBL301,CDK2,381.237,3.561
Brc1cccc(Nc2ccnc3ccccc23)c1,5.26,CHEMBL37346,CHEMBL203,EGFR,299.171,4.741
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.27,CHEMBL126384,CHEMBL203,EGFR,457.376,4.055
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.29,CHEMBL126791,CHEMBL203,EGFR,424.306,4.23
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,7.965,CHEMBL128987,CHEMBL203,EGFR,429.322,3.275
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04,CHEMBL338114,CHEMBL203,EGFR,410.279,3.909
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.17,CHEMBL36967,CHEMBL203,EGFR,438.329,4.449
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,8.793333333333333,CHEMBL40734,CHEMBL203,EGFR,339.196,4.617
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,8.806666666666667,CHEMBL39337,CHEMBL203,EGFR,340.184,4.012
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.115,CHEMBL40130,CHEMBL203,EGFR,452.356,4.423
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.585000000000001,CHEMBL39355,CHEMBL203,EGFR,467.371,4.208
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,7.574999999999999,CHEMBL38199,CHEMBL203,EGFR,453.344,3.818
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19,CHEMBL137364,CHEMBL203,EGFR,456.348,4.247
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6,CHEMBL424093,CHEMBL203,EGFR,433.313,6.115
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62,CHEMBL138125,CHEMBL203,EGFR,434.301,5.51
Brc1cccc(Nc2ncnc3ccccc23)c1,7.57,CHEMBL290096,CHEMBL203,EGFR,300.159,4.136
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.54,CHEMBL417420,CHEMBL203,EGFR,444.337,3.06
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.64,CHEMBL51228,CHEMBL203,EGFR,425.294,3.625
