compound_id,target_id,target_name,assay_id,assay_description,standard_type,standard_value,standard_units,pchembl_value,activity_type,document_id,published_year,source
CHEMBL2067815,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900000,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,10.08,nM,8.0,INHIBITION,CHEMBL3800000,2022,ChEMBL
CHEMBL2054937,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900001,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,43.48,nM,7.36,INHIBITION,CHEMBL3800000,2023,ChEMBL
CHEMBL2001746,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900002,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,54.22,nM,7.27,INHIBITION,CHEMBL3800000,2022,ChEMBL
CHEMBL2005380,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900003,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,54.22,nM,7.27,INHIBITION,CHEMBL3800000,2023,ChEMBL
CHEMBL2003805,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900004,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,0.83,nM,9.08,INHIBITION,CHEMBL3800000,2022,ChEMBL
CHEMBL2007439,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900005,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,5.4,nM,8.27,INHIBITION,CHEMBL3800001,2023,ChEMBL
CHEMBL2037736,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900006,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,93.21,nM,7.03,INHIBITION,CHEMBL3800001,2022,ChEMBL
CHEMBL2036161,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900007,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,9.07,nM,8.04,INHIBITION,CHEMBL3800001,2023,ChEMBL
CHEMBL2039795,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900008,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,18.11,nM,7.74,INHIBITION,CHEMBL3800001,2022,ChEMBL
CHEMBL2038220,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900009,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,2589.88,nM,5.59,INHIBITION,CHEMBL3800001,2023,ChEMBL
CHEMBL2073726,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900010,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,325.71,nM,6.49,INHIBITION,CHEMBL3800002,2022,ChEMBL
CHEMBL2072151,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900011,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,15.34,nM,7.81,INHIBITION,CHEMBL3800002,2023,ChEMBL
CHEMBL2075785,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900012,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,1.08,nM,8.97,INHIBITION,CHEMBL3800002,2022,ChEMBL
CHEMBL2074210,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900013,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,53.18,nM,7.27,INHIBITION,CHEMBL3800002,2023,ChEMBL
CHEMBL2004507,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900014,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,110.76,nM,6.96,INHIBITION,CHEMBL3800002,2022,ChEMBL
CHEMBL2008141,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900015,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,24.49,nM,7.61,INHIBITION,CHEMBL3800003,2023,ChEMBL
CHEMBL2006566,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900016,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,126.08,nM,6.9,INHIBITION,CHEMBL3800003,2022,ChEMBL
CHEMBL2010200,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900017,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,61.9,nM,7.21,INHIBITION,CHEMBL3800003,2023,ChEMBL
CHEMBL2040497,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900018,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,32.62,nM,7.49,INHIBITION,CHEMBL3800003,2022,ChEMBL
CHEMBL2044131,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900019,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,361.17,nM,6.44,INHIBITION,CHEMBL3800003,2023,ChEMBL
CHEMBL2042556,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900020,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,4.76,nM,8.32,INHIBITION,CHEMBL3800004,2022,ChEMBL
CHEMBL2089365,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900021,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,525.83,nM,6.28,INHIBITION,CHEMBL3800004,2023,ChEMBL
CHEMBL2076487,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900022,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,673.27,nM,6.17,INHIBITION,CHEMBL3800004,2022,ChEMBL
CHEMBL2074912,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900023,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,20.1,nM,7.7,INHIBITION,CHEMBL3800004,2023,ChEMBL
CHEMBL2078546,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900024,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,5.77,nM,8.24,INHIBITION,CHEMBL3800004,2022,ChEMBL
CHEMBL2025355,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900025,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,21.31,nM,7.67,INHIBITION,CHEMBL3800005,2023,ChEMBL
CHEMBL2055652,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900026,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,41.27,nM,7.38,INHIBITION,CHEMBL3800005,2022,ChEMBL
CHEMBL2010902,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900027,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,63.26,nM,7.2,INHIBITION,CHEMBL3800005,2023,ChEMBL
CHEMBL2057711,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900028,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,91.34,nM,7.04,INHIBITION,CHEMBL3800005,2022,ChEMBL
CHEMBL2061345,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900029,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,2.77,nM,8.56,INHIBITION,CHEMBL3800005,2023,ChEMBL
CHEMBL2059770,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900030,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,14.99,nM,7.82,INHIBITION,CHEMBL3800006,2022,ChEMBL
CHEMBL2046892,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900031,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,76.75,nM,7.11,INHIBITION,CHEMBL3800006,2023,ChEMBL
CHEMBL2093701,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900032,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,150.29,nM,6.82,INHIBITION,CHEMBL3800006,2022,ChEMBL
CHEMBL2092126,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900033,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,7.73,nM,8.11,INHIBITION,CHEMBL3800006,2023,ChEMBL
CHEMBL2095760,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900034,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,2.94,nM,8.53,INHIBITION,CHEMBL3800006,2022,ChEMBL
CHEMBL2026057,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900035,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,3.7,nM,8.43,INHIBITION,CHEMBL3800007,2023,ChEMBL
CHEMBL2029691,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900036,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,218.38,nM,6.66,INHIBITION,CHEMBL3800007,2022,ChEMBL
