study_pk,sid,name,drug,licence,group_count,individual_count,intervention_count,output_count,output_calculated_count,subset_count,timecourse_count,scatter_count,reference_date,output_ids,subset_ids
553,PKDB00954,Rosenkranz1996a,creatinine; glimepiride; glimepiride-M1; glimepiride-M2,closed,9,248,6,669,27,28,10,18,1997-03-28,"[160175, 160176, 160177, 160178, 160179, 160180, 160181, 160182, 160231, 160232, 160227, 160228, 160221, 160222, 160183, 160184, 160185, 160225, 160226, 160186, 160187, 160188, 160189, 160190, 160191, 160192, 160193, 160194, 160223, 160224, 160229, 160230, 160326, 160327, 160328, 160329, 160330, 160331, 160332, 160333, 160334, 160335, 160336, 160337, 160338, 160339, 160340, 160341, 160342, 160343, 160344, 160345, 160346, 160347, 160348, 160349, 160350, 160351, 160352, 160353, 160354, 160355, 160356, 160357, 160358, 160359, 160360, 160361, 160362, 160363, 160364, 160365, 160366, 160367, 160368, 160369, 160370, 160371, 160372, 160373, 160374, 160375, 160376, 160377, 160378, 160379, 160380, 160381, 160382, 160383, 160384, 160385, 160386, 160387, 160388, 160389, 160390, 160391, 160392, 160393, 160394, 160395, 160396, 160397, 160398, 160399, 160400, 160401, 160402, 160403, 160404, 160405, 160406, 160407, 160408, 160409, 160410, 160411, 160412, 160413, 160414, 160415, 160416, 160417, 160418, 160613, 160614, 160615, 160616, 160617, 160618, 160619, 160620, 160621, 160622, 160623, 160624, 160625, 160629, 160630, 160631, 160644, 160645, 160646, 160647, 160648, 160649, 160650, 160651, 160652, 160653, 160654, 160655, 160656, 160657, 160660, 160661, 160662, 160663, 160664, 160665, 160666, 160667, 160668, 160669, 160670, 160671, 160672, 160673, 160674, 160675, 160676, 160677, 160678, 160679, 160680, 160681, 160703, 160704, 160705, 160706, 160707, 160708, 160709, 160710, 160711, 160712, 160713, 160714, 160719, 160720, 160721, 160722, 160723, 160724, 160725, 160726, 160727, 160728, 160729, 160730, 160731, 160732, 160733, 160734, 160735, 160736, 160737, 160738, 160739, 160740, 160741, 160742, 160743, 160744, 160682, 160683, 160684, 160685, 160686, 160687, 160688, 160750, 160751, 160752, 160753, 160754, 160765, 160766, 160767, 160768, 160769, 160770, 160771, 160772, 160773, 160774, 160775, 160776, 160777, 160953, 160954, 160955, 160956, 160957, 160958, 160959, 160960, 160961, 160962, 160963, 160964, 160965, 160967, 160968, 160969, 160970, 160971, 160972, 160973, 160974, 160975, 160976, 160977, 160978, 160979, 160980, 160981, 160982, 160983, 160984, 160985, 160986, 160987, 160988, 160989, 160990, 160991, 161033, 161034, 161035, 161036, 161037, 161038, 161039, 161040, 161041, 161042, 161043, 161044, 161045, 161047, 160992, 160993, 160994, 160995, 160996, 160997, 160998, 160999, 161000, 161001, 161002, 161003, 161004, 161005, 161006, 161007, 161008, 161009, 161010, 161011, 161012, 161013, 161014, 161015, 161016, 161017, 161059, 161060, 161061, 161062, 161063, 161064, 161065, 161066, 161067, 161068, 161070, 161071, 161072, 161073, 161074, 161075, 161076, 161077, 161078, 161079, 161080, 161081, 161082, 161085, 161086, 161087, 161088, 161089, 161090, 161091, 161092, 161093, 161094, 161095, 161096, 161097, 161267, 161268, 161269, 161270, 161271, 161272, 161273, 161274, 161275, 161276, 161277, 161278, 161281, 161282, 161283, 161284, 161285, 161286, 161287, 161288, 161289, 161290, 161291, 161292, 161344, 161345, 161346, 161347, 161348, 161293, 161294, 161295, 161296, 161297, 161298, 161299, 161300, 161302, 161303, 161304, 161305, 161306, 161307, 161308, 161309, 161310, 161311, 161312, 161313, 161314, 161315, 161316, 161317, 161318, 161319, 161320, 161321, 161322, 161323, 161324, 161325, 161326, 161327, 161328, 160599, 160600, 161358, 161359, 161360, 161361, 161362, 161363, 161364, 161365, 161366, 161368, 161369, 161370, 161371, 161372, 161373, 161374, 161375, 161376, 161379, 161380, 161381, 161382, 161383, 161384, 161385, 161386, 161387, 161388, 161389, 161390, 161391, 161393, 161394, 161395, 161396, 161397, 161398, 161399, 161400, 161401, 161402, 161403, 161404, 160601, 160602, 160603, 160604, 160605, 160606, 160607, 160608, 160609, 160610, 160611, 160612, 160689, 160690, 160691, 160692, 160693, 160694, 160695, 160696, 160697, 160698, 160699, 160700, 160701, 160702, 160626, 160627, 160628, 160715, 160716, 160717, 160718, 160632, 160633, 160634, 160635, 160636, 160637, 160638, 160639, 160640, 160641, 160642, 160643, 160658, 160659, 160745, 160746, 160747, 160748, 160749, 160755, 160756, 160757, 160758, 160759, 160760, 160761, 160762, 160763, 160764, 160778, 160939, 160940, 160941, 160942, 160943, 160944, 160945, 160946, 160947, 160948, 160949, 160950, 160951, 160952, 161019, 161020, 161021, 161022, 161023, 161024, 161025, 161026, 161027, 161028, 161029, 161030, 161031, 161032, 160966, 161046, 161048, 161049, 161050, 161051, 161052, 161053, 161054, 161055, 161056, 161057, 161058, 161069, 161083, 161084, 161018, 161098, 161253, 161254, 161255, 161256, 161257, 161258, 161259, 161260, 161261, 161262, 161263, 161264, 161265, 161266, 161330, 161331, 161332, 161333, 161334, 161335, 161336, 161337, 161338, 161339, 161340, 161341, 161342, 161343, 161279, 161280, 161349, 161350, 161351, 161352, 161353, 161354, 161355, 161356, 161357, 161367, 161301, 161377, 161378, 161392, 161329, 161405, 161406, 160166, 160167, 160168, 160169, 160170, 160171, 160172, 160173, 160174, 161416, 161417, 161418, 161419, 161420, 161421, 161422, 161423, 161424, 160198, 160199, 160200, 160201, 160202, 160203, 160204, 160205, 160206, 160207, 160208, 161431, 161432, 161433, 161434, 161435, 161436, 161443, 161444, 161445, 161446, 161447, 161448, 160195, 160196, 160197, 161455, 161456, 161457, 161458, 161459, 161460]","[3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 3021, 3022, 3023, 3024, 3025, 3026, 3027, 3028]"
554,PKDB00955,Shukla2004,glimepiride; glimepiride-M1; glimepiride-M2,closed,3,0,1,274,54,14,14,0,2004-03-15,"[161665, 161666, 161667, 161668, 161669, 161670, 161671, 161672, 161673, 161674, 161675, 161676, 161677, 161678, 161679, 161647, 161648, 161649, 161650, 161651, 161652, 161653, 161654, 161655, 161656, 161657, 161658, 161659, 161660, 161661, 161662, 161663, 161699, 161700, 161719, 161720, 161721, 161722, 161723, 161724, 161725, 161726, 161727, 161728, 161729, 161730, 161731, 161732, 161737, 161738, 161739, 161740, 161741, 161742, 161743, 161744, 161745, 161746, 161747, 161748, 161749, 161750, 161751, 161752, 161773, 161774, 161775, 161776, 161777, 161778, 161779, 161755, 161756, 161757, 161758, 161759, 161760, 161761, 161762, 161763, 161764, 161765, 161766, 161767, 161768, 161769, 161770, 161771, 161753, 161754, 161805, 161806, 161807, 161808, 161798, 161799, 161800, 161801, 161802, 161803, 161804, 161867, 161868, 161869, 161870, 161809, 161810, 161811, 161826, 161827, 161828, 161829, 161830, 161831, 161812, 161813, 161814, 161815, 161816, 161817, 161818, 161871, 161872, 161873, 161874, 161875, 161876, 161877, 161878, 161879, 161880, 161881, 161882, 161883, 161884, 161885, 161886, 161887, 161888, 161889, 161890, 161891, 161892, 161893, 161894, 161895, 161896, 161897, 161898, 161899, 161900, 161791, 161792, 161793, 161794, 161795, 161796, 161797, 161780, 161781, 161782, 161783, 161784, 161785, 161786, 161787, 161788, 161789, 161790, 161907, 161908, 161909, 161910, 161911, 161912, 161701, 161702, 161703, 161704, 161705, 161706, 161707, 161708, 161709, 161710, 161711, 161712, 161713, 161714, 161715, 161716, 161717, 161718, 161919, 161920, 161921, 161922, 161923, 161924, 161683, 161684, 161685, 161686, 161687, 161688, 161689, 161690, 161691, 161692, 161693, 161694, 161695, 161696, 161697, 161698, 161931, 161932, 161933, 161934, 161935, 161936, 161772, 161943, 161944, 161945, 161946, 161947, 161948, 161733, 161734, 161735, 161736, 161955, 161956, 161957, 161958, 161959, 161960, 161680, 161681, 161682, 161970, 161971, 161972, 161973, 161974, 161975, 161976, 161977, 161978, 161985, 161986, 161987, 161988, 161989, 161990, 161819, 161820, 161821, 161822, 161823, 161824, 161825, 161664, 162000, 162001, 162002, 162003, 162004, 162005, 162006, 162007, 162008, 161832]","[3029, 3030, 3031, 3032, 3033, 3034, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3042]"
555,PKDB00956,Suzuki2006,glimepiride; glucose; insulin,closed,2,42,1,78,21,3,3,0,2007-10-04,"[162058, 162016, 162017, 162018, 162019, 162020, 162034, 162035, 162036, 162037, 162038, 162059, 162060, 162061, 162062, 162063, 162064, 162065, 162066, 162067, 162068, 162069, 162070, 162097, 162098, 162099, 162100, 162101, 162102, 162103, 162104, 162105, 162106, 162107, 162108, 162109, 162110, 162111, 162112, 162113, 162114, 162115, 162116, 162117, 162118, 162119, 162120, 162121, 162122, 162039, 162040, 162041, 162042, 162043, 162044, 162132, 162133, 162134, 162135, 162136, 162137, 162138, 162139, 162140, 162021, 162022, 162150, 162151, 162152, 162153, 162154, 162155, 162156, 162157, 162158, 162162, 162163, 162164]","[3043, 3044, 3045]"
556,PKDB00957,Wang2005,glimepiride,closed,4,0,1,88,27,3,3,0,2005-08-18,"[162218, 162219, 162220, 162221, 162222, 162223, 162224, 162225, 162226, 162205, 162206, 162207, 162208, 162209, 162210, 162211, 162212, 162213, 162214, 162266, 162267, 162268, 162269, 162270, 162271, 162272, 162273, 162274, 162275, 162276, 162277, 162278, 162279, 162280, 162281, 162282, 162283, 162284, 162285, 162286, 162231, 162232, 162233, 162234, 162235, 162236, 162237, 162238, 162239, 162240, 162241, 162242, 162243, 162244, 162296, 162297, 162298, 162299, 162300, 162301, 162302, 162303, 162304, 162227, 162228, 162229, 162230, 162314, 162315, 162316, 162317, 162318, 162319, 162320, 162321, 162322, 162215, 162216, 162217, 162332, 162333, 162334, 162335, 162336, 162337, 162338, 162339, 162340]","[3046, 3047, 3048]"
557,PKDB00958,Yoo2011,glimepiride,closed,3,0,1,42,18,2,2,0,2011-12-20,"[162377, 162378, 162379, 162380, 162381, 162382, 162383, 162384, 162385, 162386, 162387, 162388, 162398, 162399, 162400, 162401, 162402, 162403, 162404, 162405, 162406, 162365, 162366, 162367, 162368, 162369, 162370, 162371, 162372, 162373, 162374, 162375, 162376, 162416, 162417, 162418, 162419, 162420, 162421, 162422, 162423, 162424]","[3049, 3050]"
558,PKDB00181,Allonen1981,midazolam,closed,1,6,3,139,18,2,2,0,1982-01-28,"[162509, 162510, 162511, 162512, 162513, 162514, 162515, 162516, 162517, 162518, 162519, 162520, 162521, 162522, 162523, 162524, 162525, 162526, 162527, 162528, 162529, 162530, 162531, 162532, 162533, 162534, 162535, 162536, 162537, 162538, 162539, 162540, 162541, 162542, 162543, 162544, 162545, 162546, 162547, 162548, 162549, 162550, 162551, 162552, 162553, 162554, 162555, 162556, 162557, 162558, 162559, 162560, 162561, 162562, 162563, 162564, 162565, 162566, 162567, 162568, 162569, 162570, 162571, 162572, 162573, 162574, 162575, 162576, 162577, 162578, 162579, 162580, 162581, 162582, 162583, 162584, 162585, 162586, 162587, 162588, 162589, 162590, 162591, 162592, 162605, 162606, 162607, 162608, 162609, 162610, 162611, 162612, 162613, 162614, 162615, 162616, 162654, 162655, 162656, 162657, 162658, 162659, 162660, 162661, 162662, 162663, 162664, 162665, 162642, 162643, 162644, 162645, 162646, 162647, 162648, 162649, 162650, 162651, 162652, 162653, 162676, 162677, 162678, 162679, 162680, 162681, 162682, 162683, 162684, 162666, 162694, 162695, 162696, 162697, 162698, 162699, 162700, 162701, 162702]","[3051, 3052]"
560,PKDB00228,Backman1998,midazolam; 1-hydroxymidazolam; rifampicin; itraconazole,closed,1,0,6,202,69,10,10,0,1998-06-11,"[163076, 163077, 163078, 163085, 163086, 163087, 163088, 163089, 163090, 163097, 163098, 163099, 163100, 163101, 163102, 162973, 163112, 163113, 163114, 163115, 163116, 163117, 163118, 163119, 163120, 163040, 163041, 163042, 163043, 163044, 163045, 163046, 163047, 163048, 163127, 163128, 163129, 163130, 163131, 163132, 162818, 162819, 162820, 162821, 162822, 162823, 162824, 162825, 162826, 162827, 162828, 162829, 162830, 162831, 162832, 162833, 162834, 162835, 162836, 162837, 162838, 162839, 162840, 162841, 162842, 162843, 162844, 162845, 162846, 162847, 162848, 162849, 162850, 162851, 162852, 162962, 162963, 162964, 162965, 162966, 162967, 162968, 162969, 162970, 162971, 162972, 163142, 163143, 163144, 163145, 163146, 163147, 163148, 163149, 163150, 163154, 163155, 163156, 162974, 162975, 163022, 163023, 163024, 163025, 163026, 163027, 163028, 163029, 163030, 163031, 163032, 162999, 163000, 163001, 163002, 163003, 163004, 163005, 163006, 163007, 163008, 163009, 162991, 162992, 162993, 162994, 162995, 162996, 162997, 162998, 162986, 162987, 162988, 162989, 162990, 162981, 162982, 162983, 162984, 162985, 163033, 163034, 163035, 163010, 163011, 163012, 163013, 163014, 163015, 163016, 163017, 163018, 163019, 163020, 163021, 163055, 163056, 163057, 163058, 163059, 163060, 162951, 162952, 162953, 162954, 162955, 162956, 162957, 162958, 162959, 162960, 162961, 163070, 163071, 163072, 163073, 163074, 163075, 163036, 163037, 163038, 163039, 162976, 162977, 162978, 162979, 162980, 163166, 163167, 163168, 163169, 163170, 163171, 163172, 163173, 163174, 163181, 163182, 163183, 163184, 163185, 163186]","[3053, 3054, 3055, 3056, 3057, 3058, 3059, 3060, 3061, 3062]"
561,PKDB00251,Bornemann1985,midazolam; 1-hydroxymidazolam,closed,1,12,3,265,45,6,6,0,1985-12-13,"[163367, 163368, 163369, 163370, 163371, 163372, 163373, 163374, 163375, 163376, 163377, 163378, 163379, 163380, 163381, 163456, 163457, 163458, 163459, 163460, 163461, 163462, 163463, 163464, 163465, 163466, 163467, 163468, 163469, 163470, 163471, 163472, 163473, 163474, 163654, 163655, 163656, 163657, 163658, 163659, 163660, 163661, 163662, 163613, 163614, 163615, 163616, 163617, 163618, 163619, 163620, 163621, 163622, 163623, 163624, 163625, 163626, 163669, 163670, 163671, 163672, 163673, 163674, 163223, 163224, 163225, 163226, 163227, 163228, 163229, 163230, 163231, 163232, 163233, 163234, 163235, 163236, 163237, 163238, 163239, 163240, 163241, 163242, 163243, 163244, 163245, 163246, 163247, 163248, 163249, 163250, 163251, 163252, 163253, 163254, 163255, 163256, 163257, 163258, 163382, 163383, 163384, 163385, 163386, 163387, 163388, 163389, 163390, 163391, 163392, 163393, 163394, 163395, 163396, 163397, 163398, 163399, 163400, 163401, 163402, 163403, 163404, 163405, 163406, 163407, 163408, 163409, 163410, 163411, 163412, 163413, 163414, 163415, 163416, 163417, 163418, 163419, 163420, 163421, 163422, 163423, 163424, 163425, 163426, 163427, 163428, 163429, 163430, 163431, 163432, 163433, 163434, 163435, 163436, 163437, 163438, 163439, 163440, 163441, 163442, 163443, 163444, 163445, 163446, 163447, 163448, 163449, 163450, 163451, 163452, 163453, 163454, 163455, 163551, 163552, 163553, 163554, 163555, 163556, 163557, 163558, 163559, 163560, 163561, 163562, 163563, 163564, 163565, 163566, 163567, 163568, 163569, 163570, 163571, 163572, 163573, 163574, 163575, 163576, 163577, 163684, 163685, 163686, 163687, 163688, 163689, 163690, 163691, 163692, 163594, 163595, 163596, 163578, 163579, 163580, 163581, 163582, 163583, 163584, 163585, 163586, 163587, 163588, 163589, 163590, 163591, 163592, 163593, 163636, 163637, 163638, 163639, 163640, 163641, 163642, 163643, 163644, 163602, 163603, 163604, 163605, 163606, 163607, 163608, 163609, 163610, 163611, 163612, 163597, 163598, 163599, 163600, 163601, 163699, 163700, 163701, 163702, 163703, 163704, 163711, 163712, 163713, 163714, 163715, 163716]","[3063, 3064, 3065, 3066, 3067, 3068]"
562,PKDB00326,Chaobal2005,grapefruit juice; midazolam; rifampicin; alfentanil; troleandomycin,closed,1,55,9,64,0,0,0,0,2005-12-20,"[163772, 163773, 163774, 163775, 163776, 163777, 163778, 163779, 163780, 163781, 163782, 163783, 163784, 163785, 163786, 163787, 163788, 163789, 163790, 163791, 163792, 163793, 163794, 163795, 163796, 163797, 163798, 163799, 163800, 163801, 163802, 163803, 163804, 163805, 163806, 163807, 163808, 163809, 163810, 163811, 163812, 163813, 163814, 163815, 163816, 163817, 163818, 163819, 163820, 163821, 163822, 163823, 163824, 163825, 163826, 163836, 163837, 163838, 163839, 163840, 163841, 163842, 163843, 163844]",[]
564,PKDB00308,Dyk2019,midazolam; rifampicin; clarithromycin,closed,3,0,3,144,27,3,3,0,2019-09-27,"[163983, 163984, 163985, 163986, 163987, 163988, 163989, 163990, 163991, 163992, 163993, 163994, 163995, 163996, 163997, 163998, 163999, 164000, 164001, 164002, 164003, 164004, 164005, 164006, 164007, 164008, 164009, 164010, 164011, 164012, 164013, 164014, 164015, 164016, 164017, 164018, 164019, 164020, 164021, 164022, 164023, 164024, 164025, 164026, 164027, 164028, 164029, 164030, 164031, 164032, 164033, 164034, 164035, 164036, 164037, 164038, 164039, 164040, 164041, 164042, 164043, 164044, 164045, 164046, 164047, 164048, 164049, 164050, 164051, 164052, 164053, 164054, 164055, 164056, 164057, 164058, 164059, 164060, 164061, 164062, 164063, 164064, 164065, 164066, 164067, 164068, 164069, 164070, 164071, 164072, 164100, 164101, 164102, 164103, 164104, 164105, 164106, 164107, 164108, 164136, 164137, 164138, 164139, 164140, 164141, 164142, 164143, 164144, 164118, 164119, 164120, 164121, 164122, 164123, 164124, 164125, 164109, 164110, 164111, 164112, 164113, 164114, 164115, 164116, 164117, 164154, 164155, 164156, 164157, 164158, 164159, 164160, 164161, 164162, 164126, 164172, 164173, 164174, 164175, 164176, 164177, 164178, 164179, 164180]","[3069, 3070, 3071]"
