parameter,output,baseline,output_high,output_low,rel_change_high,rel_change_low,sensitivity_index,abs_sensitivity
CL,AUC_E,13.422939974519771,11.484348427239933,16.2897877068001,-0.14442376639989365,0.2135782278489178,-0.8950049856220286,0.8950049856220286
CL,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
CL,AUC_C1,198.94323702259186,166.35278426084236,247.12106185377877,-0.1638178469874226,0.24216869873146715,-1.0149663642972244,1.0149663642972244
V1,AUC_E,13.422939974519771,13.69117753902034,13.145550962696792,0.019983518142057757,-0.02066529481242826,0.10162203238621503,0.10162203238621503
V1,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
V1,AUC_C1,198.94323702259186,238.39116783495285,159.44847825274118,0.19828736780773962,-0.19852275131808417,0.9920252978145594,0.9920252978145594
V2,AUC_E,13.422939974519771,13.509683159037206,13.220419192790521,0.006462308904166715,-0.015087662025881597,0.053874927325120774,0.053874927325120774
V2,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
V2,AUC_C1,198.94323702259186,197.72012456436946,199.79200382091105,-0.0061480474356788856,0.0042663767365100445,-0.026036060430472328,0.026036060430472328
Q,AUC_E,13.422939974519771,13.683553515768086,13.038819301898723,0.01941553353758767,-0.02861673175550281,0.12008066323272619,0.12008066323272619
Q,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Q,AUC_C1,198.94323702259186,199.33488055269223,198.32810539518906,0.001968619471371588,-0.0030919956697645842,0.012651537852840431,0.012651537852840431
ke0,AUC_E,13.422939974519771,12.880415193328142,14.157696284302125,-0.04041773130338674,0.0547388508908713,-0.23789145548564508,0.23789145548564508
ke0,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ke0,AUC_C1,198.94323702259186,198.94323874971835,198.94323403687332,8.681503899793531e-09,-1.500789161204432e-08,5.922348877959462e-08,5.922348877959462e-08
EC50,AUC_E,13.422939974519771,12.004639962942916,15.245701097459948,-0.10566239693160794,0.13579447769268516,-0.6036421865607328,0.6036421865607328
EC50,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
EC50,AUC_C1,198.94323702259186,198.94323702259186,198.94323702259186,0.0,0.0,0.0,0.0
Emax,AUC_E,13.422939974519771,16.107527969423725,10.73835197961582,0.19999999999999996,-0.19999999999999982,0.9999999999999993,0.9999999999999993
Emax,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Emax,AUC_C1,198.94323702259186,198.94323702259186,198.94323702259186,0.0,0.0,0.0,0.0
gamma,AUC_E,13.422939974519771,13.00315528783822,14.113430158188788,-0.03127367681583998,0.05144105426827106,-0.2067868277102776,0.2067868277102776
gamma,Cmax,100.0,100.0,100.0,0.0,0.0,0.0,0.0
gamma,AUC_C1,198.94323702259186,198.94323702259186,198.94323702259186,0.0,0.0,0.0,0.0
DOSE,AUC_E,13.422939974519771,14.905368620372007,11.69622908605219,0.1104399370530056,-0.12863879982666443,0.5976968421991751,0.5976968421991751
DOSE,Cmax,100.0,120.0,80.00000000000001,0.2,-0.19999999999999984,0.9999999999999997,0.9999999999999997
DOSE,AUC_C1,198.94323702259186,238.73188468971333,159.15460526868924,0.20000000131999005,-0.19999992133125014,0.9999998066281005,0.9999998066281005
