smiles,herg,MW,LogP,HBA,HBD
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,388.8950000000002,3.148200000000002,4,1
CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,1,441.57900000000024,4.206280000000004,4,0
CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,0,328.44100000000014,2.623100000000001,6,2
N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(c3cccc4ncccc34)C2=O)cc1,1,422.4920000000001,3.246380000000002,5,1
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1,366.5490000000002,4.830200000000005,3,0
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,1,279.383,3.9624000000000033,2,0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1,344.845,5.376700000000004,1,0
CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,1,348.79600000000005,3.818900000000003,2,1
CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,0,315.2440000000001,3.4535000000000027,2,1
Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,0,294.826,3.1085200000000013,2,1
CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,0,288.43500000000006,3.270100000000001,2,1
CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,0,555.7640000000001,4.607940000000004,7,0
CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,0,315.2440000000001,3.453500000000002,2,1
COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@@H](C)O[C@@H](C)C4)nc3n2)cc1CO,1,465.5540000000002,2.6429000000000014,9,1
O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,1,335.23400000000015,4.002100000000004,2,1
CCOc1cc(CN2CCC(Nc3nc4cc(S(=O)(=O)CC)ccc4o3)CC2)ccc1OC,1,473.59500000000037,4.1052000000000035,8,1
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(Cl)c3)C2)n1C,1,429.9770000000002,4.1876200000000035,6,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)cc3)C2)n1C,1,413.52200000000016,3.673320000000002,6,0
Cn1c(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncnc1,1,460.5290000000001,4.046600000000002,6,0
Cc1cnc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,1,474.5560000000001,4.355020000000003,6,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,1,463.52900000000017,4.5530200000000045,6,0
COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1Cl,1,460.00300000000016,4.196220000000004,7,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Br)cc5)C4)n3C)cccc2n1,1,534.5270000000002,5.856920000000006,5,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,1,480.64100000000025,4.966100000000004,6,0
COc1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5nc(C)ccc45)n2C)C3)cc1,1,485.6570000000002,5.103020000000004,6,0
Cc1ccoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,1,462.54100000000017,5.158020000000005,5,0
Cc1ccc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,1,473.5680000000001,4.9600200000000045,5,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccccc3)C2)n1C,1,395.53200000000015,3.534220000000002,6,0
Cc1cc(C(F)(F)F)ccc1C12CC1CN(CCCSc1nnc(-c3ocnc3C)n1C)C2,1,477.55600000000027,4.861440000000005,6,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(C)(C)C)cc3)C2)n1C,1,451.64000000000027,4.831720000000004,6,0
Cc1ncoc1-c1nnc(SCCCN2C[C@H]3C[C@@]3(c3ccc(C(C)(C)C)cc3)C2)n1C,1,451.64000000000027,4.831720000000004,6,0
Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(C)(C)C)cc3)C2)n1C,1,451.64000000000027,4.831720000000004,6,0
COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1,1,425.55800000000016,3.5428200000000025,7,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3F)C2)n1C,1,481.5190000000002,4.692120000000004,6,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(F)c3)C2)n1C,1,413.52200000000016,3.673320000000002,6,0
CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,1,438.5970000000002,4.153900000000004,4,2
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,1,490.07600000000025,5.747820000000006,5,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)c(F)c3)C2)n1C,1,481.5190000000002,4.6921200000000045,6,0
Cc1ccc2c(-c3nnc(SCCCN4C[C@H]5C[C@@]5(c5ccc(Br)cc5)C4)n3C)cccc2n1,1,534.5270000000002,5.856920000000006,5,0
Cc1ccc2c(-c3nnc(SCCCN4C[C@@H]5C[C@]5(c5ccc(Br)cc5)C4)n3C)cccc2n1,1,534.5270000000002,5.856920000000006,5,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccccc3C(F)(F)F)C2)n1C,1,463.52900000000017,4.553020000000004,6,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,1,523.6280000000002,6.113220000000006,5,0
CNC(=O)Cn1c(=O)n(C2CCN([C@H]3CC[C@@H](C(C)C)CC3)CC2)c2ccccc21,1,412.57800000000026,3.4007000000000014,3,1
COc1cccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)c1,1,425.55800000000016,3.5428200000000025,7,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(Cl)cc3)C2)n1C,1,429.9770000000002,4.1876200000000035,6,0
CCOc1cc(CN2CCC(Nc3nc4cc(C(N)=O)ccc4o3)CC2)cc(OCC)c1F,1,456.5180000000003,3.939700000000002,7,2
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,0,315.2440000000001,3.4535000000000027,2,1
O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)[C@H]1CCNC1,1,327.2550000000001,3.5976000000000026,2,1
CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,0,329.27100000000013,3.843600000000003,2,1
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(Cl)c(Cl)c3)C2)n1C,1,464.42200000000025,4.841020000000005,6,0
O=C(c1cccc(Cl)c1Cl)N(C1CCCC1)[C@H]1CCNC1,0,327.2550000000001,3.7401000000000026,2,1
CCC(CC)N(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,1,329.27100000000013,3.986100000000003,2,1
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3F)C2)n1C,1,481.5190000000002,4.6921200000000045,6,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccccc5)C4)n3C)cccc2n1,1,455.6310000000002,5.094420000000004,5,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)c(Cl)c5)C4)n3C)cccc2n1,1,524.5210000000003,6.401220000000006,5,0
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C(C)(C)C)cc5)C4)n3C)cccc2n1,1,511.7390000000003,6.391920000000006,5,0
COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1C(F)(F)F,1,493.5550000000002,4.561620000000004,7,0
Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,1,463.52900000000017,4.5530200000000045,6,0
Cc1ncoc1-c1nnc(SCCCN2C[C@H]3C[C@@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,1,463.52900000000017,4.5530200000000045,6,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)c(C(F)(F)F)c3)C2)n1C,1,481.5190000000002,4.6921200000000045,6,0
Cc1ccc2c(-c3nnc(SCCCN4C[C@@H]5C[C@]5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,1,523.6280000000002,6.113220000000006,5,0
Cn1c(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccccc1,1,458.5530000000001,5.256600000000005,4,0
Cc1ncccc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,1,473.56800000000015,4.9600200000000045,5,0
Cc1nc(C)c(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)s1,1,493.62400000000014,5.329940000000005,6,0
