smiles,lipophilicity_astrazeneca,MW,HBA,HBD,AromaticRings
SMILES_0,4.239218424060773,325.33497322136003,18,8,1
SMILES_1,3.482478989387379,249.81013016642027,13,6,1
SMILES_2,3.598069202685516,258.03615055694996,17,9,1
SMILES_3,2.4449663012441336,303.08067782491344,18,5,0
SMILES_4,2.5809746294146176,329.951097128926,5,8,1
SMILES_5,2.4436033445884973,282.33940225818765,4,1,3
SMILES_6,2.8782102237967955,302.30441051586564,10,3,3
SMILES_7,4.253000153047253,117.92953673134735,4,1,1
SMILES_8,3.5041131187580197,380.0826341345614,7,5,0
SMILES_9,3.7501692444313,321.7334746667316,4,0,1
SMILES_10,3.749338362373804,420.22444962493057,10,6,0
SMILES_11,4.326663656072607,300.01926088885017,12,6,0
SMILES_12,3.432225062310382,91.39229057738568,5,6,1
SMILES_13,3.538272109018378,256.986457283199,4,3,0
SMILES_14,4.783209361789735,276.00840922579,17,7,3
SMILES_15,2.0024311229953318,389.14839665203186,9,4,1
SMILES_16,1.7163861300727392,51.56717465839259,15,1,3
SMILES_17,1.2211176012197162,304.94154203387217,13,4,0
SMILES_18,3.274371845430384,361.6410258951967,14,9,2
SMILES_19,0.21940163817131508,220.62145376621763,2,8,1
SMILES_20,3.693231144089516,308.9553611780217,2,9,2
SMILES_21,2.836210358249171,224.75561890201863,11,0,2
SMILES_22,4.701959549731585,212.4512480135531,14,1,2
SMILES_23,1.9921240343025142,250.98961798424193,10,9,2
SMILES_24,2.6950225718737397,214.71696090395872,9,7,3
SMILES_25,4.683304999940053,382.0341974323599,19,4,1
SMILES_26,5.074703470167228,211.80577477975467,14,8,3
SMILES_27,1.97977145137227,191.65079915424872,17,5,0
SMILES_28,3.2726718488807403,512.1514400207441,13,7,1
SMILES_29,3.441628466526072,415.28880141888425,5,0,1
SMILES_30,3.5604801084317224,76.61839672089597,13,8,3
SMILES_31,2.6061365110265666,208.227805217696,15,8,0
SMILES_32,4.922075097185452,329.0955566067253,1,2,2
SMILES_33,0.16544477456768192,338.85060806777926,18,0,0
SMILES_34,2.368304647798374,121.14085611157279,4,7,3
SMILES_35,3.6718960991594205,439.02785913867865,10,7,3
SMILES_36,3.6858372179240155,399.0269303017951,10,8,3
SMILES_37,5.0291385459221445,357.82819584484065,18,5,2
SMILES_38,4.79733808980193,462.8074188854545,17,8,1
SMILES_39,2.5716875620391644,354.2747991085102,7,9,0
SMILES_40,4.949806865295907,353.8297055102217,11,8,0
SMILES_41,1.9289373843338176,486.92151261866906,8,3,2
SMILES_42,4.396331074187756,432.146349687325,2,4,3
SMILES_43,5.71578371763149,199.01910493061627,5,5,0
SMILES_44,4.822416160282454,375.98342144062985,0,5,1
SMILES_45,3.158655575286185,220.28785620497015,16,9,0
SMILES_46,2.5023318423418166,360.49854611403333,2,1,3
SMILES_47,0.7071130556110706,357.19362084237775,17,3,0
SMILES_48,3.4658094568713063,133.98392250528167,17,8,3
SMILES_49,1.3271741580436212,285.37852664267575,1,6,1
SMILES_50,1.8102980045790948,331.83084282964825,3,8,2
SMILES_51,1.2138812988949925,247.64517708070116,0,5,3
SMILES_52,2.3094115010150174,337.76519308689114,9,6,3
SMILES_53,2.9580458782695267,396.7077332401283,4,8,0
SMILES_54,3.4104218717485577,296.3288322923093,4,3,2
SMILES_55,2.099240046879055,326.95193720499117,8,8,3
SMILES_56,4.603925559592775,466.01088942671703,13,2,0
SMILES_57,2.6876921130150513,356.78358998702714,12,7,1
SMILES_58,1.8184163501017212,324.09891476093685,12,2,2
SMILES_59,3.3394384008651548,185.03047444303667,0,2,0
SMILES_60,5.945329250315724,380.5231213666618,16,2,2
SMILES_61,3.502740849802677,339.6179939270326,19,8,3
SMILES_62,2.4557165589395895,454.04873204416896,7,9,0
SMILES_63,0.7088079658219439,305.6254251963974,2,2,1
SMILES_64,2.6708815185418944,82.04801998392051,16,5,1
SMILES_65,3.3523921876321734,95.98549574060857,11,3,0
SMILES_66,2.418628663116645,388.281691651168,17,1,0
SMILES_67,0.5019230426385006,231.5767682762216,13,2,2
SMILES_68,1.7241519157448493,352.41213013325967,10,4,0
SMILES_69,5.181807691331636,313.70791734028273,15,9,2
SMILES_70,5.1510015055956915,279.97923987672954,3,3,3
SMILES_71,1.670041246193103,288.4366457294132,17,4,0
SMILES_72,4.009135180799133,196.15325939457279,6,0,3
SMILES_73,1.2321408228447395,298.1066773320395,10,3,1
SMILES_74,5.106474422992429,229.86078806467216,15,9,2
SMILES_75,3.3678537718413546,255.32921758491543,15,2,2
SMILES_76,4.424462247924801,261.16211463490066,2,1,1
SMILES_77,0.4273599792261913,272.7968076121537,8,6,3
SMILES_78,4.016455652887332,410.66081478085033,7,9,2
SMILES_79,2.988488904473245,284.42510049543677,6,8,1
SMILES_80,4.277893606186264,422.84428039081183,16,0,1
SMILES_81,4.372301697146774,484.54259415917784,10,6,1
SMILES_82,3.098677034212124,402.59335812673794,3,0,0
SMILES_83,2.098755541356128,364.13622420822134,3,4,3
SMILES_84,4.169544273269241,339.21986513802244,4,0,1
SMILES_85,2.9097682508923084,403.8430450860084,7,2,3
SMILES_86,1.6908225697085362,310.7232886315487,9,7,2
SMILES_87,1.6197716528134714,418.14838151486384,16,3,0
SMILES_88,0.7842533755314276,373.6926966347621,5,0,1
SMILES_89,2.2345632606554053,256.8191447063534,8,0,1
SMILES_90,4.654038069111568,407.5021056123367,9,7,1
SMILES_91,3.2667446995581515,310.97760071730823,7,7,2
SMILES_92,2.205348441115439,287.26415908652206,14,3,0
SMILES_93,4.20728390727012,242.85610075212153,17,3,3
SMILES_94,1.751285067414917,319.9222617449487,4,9,3
SMILES_95,3.143025411499168,419.57551384955804,17,1,3
SMILES_96,2.730554440911727,406.67280067116445,0,1,3
SMILES_97,4.168695938382529,342.4072556950748,1,5,3
SMILES_98,0.6341574436207489,371.9572368870042,9,7,3
SMILES_99,1.7247033812780164,452.603614982707,5,6,3
SMILES_100,0.5426315113581996,282.00404505949666,18,6,0
SMILES_101,2.610604917286095,166.14959957637527,10,2,0
SMILES_102,4.817141255448646,456.1355822614287,17,1,2
SMILES_103,2.241829185519709,236.42660975631378,15,9,1
SMILES_104,2.233974092706524,217.15942519873144,7,6,0
SMILES_105,4.307586636276205,84.45626935985383,3,3,1
SMILES_106,4.60282433768295,368.5539663797156,10,0,2
SMILES_107,2.867143399096815,105.42568505373343,9,0,0
SMILES_108,4.0270722810748385,209.9689430769916,15,3,2
SMILES_109,1.3845681886830805,370.58841534180704,11,4,0
SMILES_110,5.06696150088812,386.63055028900465,2,4,0
SMILES_111,6.223059440905577,221.79550221381197,10,0,3
SMILES_112,3.7818236867830874,283.9016007609114,15,2,1
SMILES_113,-0.12649743201420072,195.28865683126162,2,5,2
SMILES_114,2.1626546064033234,234.19238546265808,9,9,3
SMILES_115,3.919237982503982,331.94583121834887,15,6,0
SMILES_116,2.367775504250456,239.80239854442507,6,0,0
SMILES_117,4.908297831375147,270.6941951789197,14,7,2
SMILES_118,3.8822358966537975,124.23519820589198,14,3,1
SMILES_119,1.9402867488513056,435.9547397767365,9,8,2
SMILES_120,3.048397216156879,361.20799118052787,2,5,0
SMILES_121,1.6592501690413648,395.14864462046415,5,0,3
SMILES_122,2.7261226823813374,454.85103895402347,17,1,2
SMILES_123,2.1681101393511724,200.97445493451403,4,2,3
SMILES_124,4.762142700349558,256.99266203663717,15,1,1
SMILES_125,6.174018085246493,72.61987589013468,12,9,1
SMILES_126,0.853217500146372,676.8507492122685,2,6,3
SMILES_127,0.11517557068537176,282.0497621619149,14,0,1
SMILES_128,2.6322413672229215,424.64734798978947,19,8,3
SMILES_129,0.7223764517569768,151.42066267974494,5,1,3
SMILES_130,3.069317405506376,419.56661107716116,3,3,3
SMILES_131,4.12340417070889,522.9109051979599,14,7,1
SMILES_132,5.241212845900238,292.7663101166422,17,2,3
SMILES_133,3.3020918380729216,178.69422040924783,8,8,1
SMILES_134,2.7102671627256316,283.3444318865357,19,6,3
SMILES_135,0.03242262514037364,32.788617005132835,3,9,3
SMILES_136,3.0392777237786976,295.453595877379,15,2,1
SMILES_137,3.1069308908241924,398.5160567175595,17,2,3
SMILES_138,3.958435221319118,295.7090826751783,4,4,3
SMILES_139,1.9372678477063632,265.90325343732394,12,4,1
SMILES_140,2.3474210996462106,363.308173933444,5,9,0
SMILES_141,0.7829966170437236,372.48298163394634,18,4,2
SMILES_142,-0.43693921032609784,100.81133249937808,11,8,1
SMILES_143,1.3372543638048255,310.6587554734546,14,8,3
SMILES_144,0.6445112786204752,592.3182149075092,8,5,2
SMILES_145,3.505068443130917,139.79805052223713,6,6,2
SMILES_146,2.222798914999714,289.749740060032,13,9,3
SMILES_147,2.192644304887816,533.0095346462044,18,7,3
SMILES_148,1.5233804307371819,432.50101878524106,19,8,0
SMILES_149,-1.8488481487686503,238.39239830687262,15,5,3
SMILES_150,5.2624661231213254,324.73624555471247,3,7,2
SMILES_151,1.4995942158348177,299.7465984018212,11,1,3
SMILES_152,2.3813698952251396,210.23138348139992,17,9,2
SMILES_153,0.8176617520660342,291.0897471008301,7,7,1
SMILES_154,4.457895515160951,266.40406406321654,16,1,1
SMILES_155,3.2151434055559864,313.52987256920994,2,7,2
SMILES_156,1.7604520721011976,210.19401831707597,3,1,1
SMILES_157,2.4116555829839643,146.80581597064065,9,2,0
SMILES_158,5.517269883187305,295.0463071929155,15,6,2
SMILES_159,2.8905458521780827,505.81418618145364,19,8,2
SMILES_160,2.727399693576141,309.8643511515356,1,2,3
SMILES_161,1.5879277707911017,260.20874652821453,11,4,0
SMILES_162,0.15812827429154563,390.4902966046198,15,8,3
SMILES_163,2.7599419896309834,281.00164648855457,9,6,0
SMILES_164,3.4882276684869264,524.1639509950932,4,1,0
SMILES_165,4.649376696491505,299.5304988845906,11,4,0
SMILES_166,-0.3727448017494832,384.0596475789796,2,4,2
SMILES_167,1.3123555094654566,209.44747411280727,11,8,1
SMILES_168,2.1288883641653245,360.3707104003995,0,1,1
SMILES_169,2.994778727140197,333.0112172332505,1,0,3
SMILES_170,2.7824494627073655,293.21926504089504,10,3,3
SMILES_171,2.817466971469095,239.78906865963359,11,3,1
SMILES_172,3.612144087854917,223.43638012171508,6,0,1
SMILES_173,1.6450603338313363,333.8823196775583,0,9,0
SMILES_174,4.401212163350542,375.4726931635768,12,6,3
SMILES_175,3.650178662549221,284.74046444470423,12,1,3
SMILES_176,2.520251603807881,334.4721514944951,1,8,3
SMILES_177,5.401361987833373,295.45023862406765,9,6,3
SMILES_178,5.3346240533576506,311.82312298864656,0,6,1
SMILES_179,4.399343032790713,275.946602078733,6,0,1
SMILES_180,-1.5278351558516887,302.15670952419697,12,8,2
SMILES_181,5.368417639076963,623.7648548180912,1,9,2
SMILES_182,4.192137783707901,337.39611585689096,19,8,1
SMILES_183,6.009612956569405,377.43563501172514,6,1,0
SMILES_184,4.856196887600308,352.56283263937166,16,9,1
SMILES_185,5.367514016245928,268.4619812043528,4,8,0
SMILES_186,4.317982275270569,455.27870559500013,10,1,3
SMILES_187,5.023039797968268,265.06034754883905,10,1,2
SMILES_188,5.99118561110166,426.60654587310614,10,7,0
SMILES_189,3.3248321075673086,259.89516023202617,16,2,3
SMILES_190,0.6416541838828055,184.8032977027151,18,2,1
SMILES_191,2.5388086499772866,343.84754498834315,7,6,2
SMILES_192,3.584918399075155,167.4397972677472,19,9,1
SMILES_193,3.1123313765573366,364.2768270019931,13,5,3
SMILES_194,1.1301570507608603,156.700961269042,9,6,3
SMILES_195,0.5533985622075316,261.7190363432576,6,5,1
SMILES_196,1.8882559970477562,128.192436417031,1,8,3
SMILES_197,4.211609333976226,638.9000411283275,16,1,3
SMILES_198,5.370509656234454,101.52485284604228,0,7,0
SMILES_199,4.374851420666552,301.1776488475685,12,5,1
SMILES_200,4.586140930671204,437.1965129196016,18,3,1
SMILES_201,2.8787766402546633,424.36630903044306,13,5,2
SMILES_202,0.3868763134410541,402.1610546607765,17,5,0
SMILES_203,2.3171691286759417,261.9325934134229,19,9,0
SMILES_204,2.611853382191432,462.13067356044024,13,2,3
SMILES_205,2.254421269746476,409.60693089626193,14,7,2
SMILES_206,3.082042298061939,325.4759541192572,13,4,2
SMILES_207,3.6621296398394256,328.8696909271911,4,9,0
SMILES_208,4.279522782365246,263.5292822861553,15,3,2
SMILES_209,2.582820203450499,190.8417569000354,4,1,0
SMILES_210,0.14436089153310983,448.458117057446,12,9,2
SMILES_211,2.275683421063298,457.46495923218384,15,0,0
SMILES_212,3.0655655954879757,193.90690307640944,14,6,0
SMILES_213,4.834211883200112,281.545780182457,4,9,3
SMILES_214,2.148288236723842,282.7892140249285,5,2,3
SMILES_215,3.7688154425991027,296.0812915511628,12,2,2
SMILES_216,3.4351318494531484,307.7153854305098,15,2,3
SMILES_217,3.065850799685083,413.62337539754157,9,9,1
SMILES_218,4.395799978986887,210.33392298159077,1,2,1
SMILES_219,2.0087382048711286,198.4383610184808,12,1,2
SMILES_220,2.1372203255347255,448.394369057157,16,5,0
SMILES_221,2.982148765358658,244.48263097424422,0,9,3
SMILES_222,2.03978024235945,148.43575757075206,3,2,2
SMILES_223,3.7620184365818994,241.7844069480156,17,0,1
SMILES_224,1.9302115434508011,260.3936717707199,5,9,0
SMILES_225,3.3394563116177016,486.59552732709176,11,8,3
SMILES_226,2.849740846819865,410.97914548520845,19,5,0
SMILES_227,3.3223889471650585,437.70247399586907,12,5,0
SMILES_228,2.3103879074054414,398.3968370816143,1,9,3
SMILES_229,2.4913675582097596,413.5492405938377,16,8,3
SMILES_230,3.1440139019955753,217.43014481036184,9,1,1
SMILES_231,3.3031117592419696,276.16774135758186,18,9,1
SMILES_232,2.9936971269132657,181.21016243717415,4,8,0
SMILES_233,5.5580435347696255,274.741436335556,11,2,0
SMILES_234,1.5138946218880736,382.0925989121689,17,2,1
SMILES_235,2.90369430757093,316.14999417746964,8,2,1
SMILES_236,0.639556466824523,457.37769827523545,10,0,0
SMILES_237,3.5581222180010794,163.03010493273368,3,9,2
SMILES_238,1.327130195434779,360.02860208378877,9,6,2
SMILES_239,2.5825346161851357,150.20366377568183,0,9,2
SMILES_240,2.441903512003011,311.3011763008371,1,6,3
SMILES_241,3.421336689901757,388.84001070677743,8,1,1
SMILES_242,2.1708136236822297,274.2596919810937,17,5,2
SMILES_243,2.1070414534590265,366.13519249043475,15,3,2
SMILES_244,5.153784696128847,184.83211982004792,13,6,1
SMILES_245,3.4268501857117895,100.35720261643407,3,6,3
SMILES_246,2.158423721966598,366.84355469853637,1,3,2
SMILES_247,2.623749492283154,509.2812280890879,11,2,3
SMILES_248,5.468032428406118,180.47460717961292,19,6,3
SMILES_249,2.6472526826233547,446.6633016128155,4,8,0
SMILES_250,1.9660850652714186,305.2108090579693,3,3,1
SMILES_251,1.972505774810411,139.71701739683087,14,5,0
SMILES_252,2.176310278515634,164.2193638377405,2,6,2
SMILES_253,2.1082534163599163,301.894172803278,16,9,0
SMILES_254,1.0805282274761354,251.46452544910755,7,2,1
SMILES_255,1.3136998545795329,142.4504427890113,11,4,3
SMILES_256,1.756019438457945,96.7152862529514,7,0,3
SMILES_257,3.8873565276796467,198.39368064881927,19,5,2
SMILES_258,2.4281440690906897,323.25708099973417,19,4,1
SMILES_259,2.6892574663589395,299.23190968762344,4,6,3
SMILES_260,4.905132037882345,239.8514450999906,5,8,2
SMILES_261,4.942510724907628,324.22646331497793,4,3,1
SMILES_262,2.5768125852933976,424.80320638352254,7,8,1
SMILES_263,2.0537047339748864,347.29518125209773,17,5,0
SMILES_264,1.7033545294896932,285.44295943325034,3,4,3
SMILES_265,4.039163654562357,411.3686407992827,3,1,1
SMILES_266,2.6929391497165684,184.8179637340446,4,0,3
SMILES_267,2.4202576645158147,273.00965525335783,14,7,3
SMILES_268,1.779503137293671,275.86944772795584,5,5,1
SMILES_269,1.8455003864829171,151.56560898685856,15,6,3
SMILES_270,3.4800872872398667,249.61510052587707,13,5,0
